molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL335940,O=C1c2c(c3c4ccc(O)cc4n([C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,50000,inactive,608.56,-0.7336,10,13,50000,4.301029996
CHEMBL134536,C[C@H]1O[C@@H](n2c3cc(O)ccc3c3c4c(c5c6ccc(O)cc6[nH]c5c32)C(=O)N(NC(CO)CO)C4=O)[C@H](O)[C@@H](O)[C@@H]1O,60000,inactive,592.561,0.294,9,12,60000,4.22184875
CHEMBL135970,O=C1c2c(c3c4ccc(O)cc4n([C@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,21000,inactive,578.534,-0.0945,9,12,21000,4.677780705
CHEMBL338967,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4OC[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,200000,inactive,578.534,-0.0945,9,12,200000,3.698970004
CHEMBL334869,O=C1c2c(c3c4ccc(O)cc4n([C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,72000,inactive,608.56,-0.7336,10,13,72000,4.142667504
CHEMBL334360,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4OC[C@@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,12000,inactive,548.508,0.5446,8,11,12000,4.920818754
CHEMBL305178,C[C@H](Nc1nccc(-c2c(-c3cccc(C(F)(F)F)c3)nc(C3CCNCC3)n2C)n1)c1ccccc1,6000,inactive,506.576,6.203,2,6,6000,5.22184875
CHEMBL435191,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,200000,inactive,608.56,-0.7336,10,13,200000,3.698970004
CHEMBL334337,O=C1c2c(c3c4ccc(O)cc4n([C@H]4C[C@H](O)[C@@H](CO)O4)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,3000,inactive,562.535,0.9347,8,11,3000,5.522878745
CHEMBL2029060,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,200000,inactive,770.701,-2.9094,13,18,200000,3.698970004
CHEMBL336626,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](C(O)CO)[C@@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,200000,inactive,608.56,-0.7336,10,13,200000,3.698970004
CHEMBL338966,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,17000,inactive,608.56,-0.7336,10,13,17000,4.769551079
CHEMBL406901,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,20000,inactive,608.56,-0.7336,10,13,20000,4.698970004
CHEMBL334461,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4C[C@@H](O)[C@H](O)[C@@H](CO)O4)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,150000,inactive,592.561,0.2956,9,12,150000,3.823908741
CHEMBL135492,O=C1c2c(c3c4ccc(O)cc4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,20000,inactive,578.534,-0.0945,9,12,20000,4.698970004
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,75000,inactive,377.444,4.6822,1,3,75000,4.124938737
CHEMBL405405,O=C1c2c(c3c4ccc(O)cc4n([C@H]4C[C@@H](O)[C@H](O)[C@@H](CO)O4)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NC(CO)CO,130000,active,592.561,0.2956,9,12,130000,3.886056648
CHEMBL113185,COc1cc(Nc2nccc(-c3ccc(NCCN)nc3)n2)cc(OC)c1OC,150,active,396.451,2.6786,3,9,150,6.823908741
CHEMBL116963,N=c1ccc(-c2ccccc2)nn1CCCCCCCCCCC(=O)Nc1ccc(-c2ccccc2)nn1,3000,inactive,508.67,6.63617,2,6,3000,5.522878745
CHEMBL112346,CC[C@H]1CN(c2ccc(-c3ccnc(Nc4cc(OC)c(OC)c(OC)c4)n3)cn2)CCN1,2874,inactive,450.543,3.4962,2,9,2874,5.541513236
CHEMBL322066,COc1cc(Nc2nccc(-c3ccc(N4CCNCC4)nc3)n2)cc(OC)c1OC,1300,inactive,422.489,2.7176,2,9,1300,5.886056648
CHEMBL56983,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)Nc3ccccc3)nc2n1,50000,inactive,552.51,7.1765,3,6,50000,4.301029996
CHEMBL117443,Cc1ccc(=N)n(CCCCCCCCCCC(=O)Nc2ccc(-c3ccccc3)nn2)n1,31000,inactive,446.599,5.27759,2,6,31000,4.508638306
CHEMBL57347,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC(C)(C)C)nc3n2)CC1,22000,inactive,545.519,4.968,3,7,22000,4.657577319
CHEMBL112263,COc1cc(Nc2nccc(-c3cccnc3)n2)cc(OC)c1OC,1400,inactive,338.367,3.308,1,7,1400,5.853871964
CHEMBL278819,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,100000,active,298.39,2.19612,1,5,100000,4
CHEMBL83790,CN[C@H]1CC2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6cc(O)ccc6n2c5c31)C(=O)NC4,2.2,inactive,482.54,4.0596,3,7,2.2,8.657577319
CHEMBL142425,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,10000,inactive,362.408,4.2237,3,4,10000,5
CHEMBL27852,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCC2CC[C@@](N)(Cc3ccccc3)CN21)C(=O)c1nc2ccccc2s1,1250,inactive,547.729,2.79407,5,7,1250,5.903089987
CHEMBL86664,Clc1ccc2cc(-c3ccncc3)cnc2c1,10000,inactive,240.693,3.9502,0,2,10000,5
CHEMBL282830,N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCN2CC[C@@](N)(Cc3ccccc3)CN12)C(=O)c1nc2ccccc2s1,3320,inactive,548.717,1.86227,5,8,3320,5.478861916
CHEMBL68423,COc1cc(OC)c2cc(-c3ccncc3)cnc2c1,10000,inactive,266.3,3.314,0,4,10000,5
CHEMBL325023,Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1,42000,inactive,437.529,2.64534,3,7,42000,4.37675071
CHEMBL57366,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,50000,inactive,405.289,4.5008,3,5,50000,4.301029996
CHEMBL449392,O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@H]1O)[C@@H]2O)c1cc(O)c(O)c(O)c1,20000,inactive,634.455,-0.2965,11,18,20000,4.698970004
CHEMBL525240,O=C(O)C[C@@H]1C(=O)O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2[C@H]1[C@H](O)C(=O)O3,30000,inactive,954.664,-0.0017,13,26,30000,4.522878745
CHEMBL84333,O=C(O)C1=C[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)C1,100000,inactive,478.362,0.4468,8,12,100000,4
CHEMBL311573,CC1O[C@H](O)C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C1O,100000,inactive,466.351,-0.2504,8,13,100000,4
CHEMBL1159468,O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(Oc4c(C(=O)O)cc(O)c(O)c4O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@H]1O)[C@@H]2O)c1cc(O)c(O)c(O)c1,20000,inactive,802.559,0.6052,14,22,20000,4.698970004
CHEMBL407914,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)C2C4=C(O)C(=O)C23Oc2cc(O)c4c(c2[C@H]13)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C4,4000,inactive,1176.863,2.4241,17,30,4000,5.397940009
CHEMBL430440,O=C1CC2O[C@H](O)C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC3C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O,4000,inactive,768.545,1.0814,13,21,4000,5.397940009
